Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.486042756023
FDW14,OUT017,1591.7612740786324
NCN55,OUT010,1822.672658617004
FDQ58,OUT017,2546.3629591573954
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122493
FDL48,OUT018,680.8000272442416
FDC48,OUT027,2806.042744135889
FDN33,OUT045,1541.247755806771
FDA36,OUT017,3051.6757355410955
FDT44,OUT017,2004.9816551032447
FDQ56,OUT045,1358.1533406290978
NCC54,OUT019,1819.7081624356476
FDU11,OUT049,2076.75019335065
DRL59,OUT013,963.7365800429789
FDM24,OUT049,2541.5716064996277
FDI57,OUT045,3047.5751030919687
DRC12,OUT018,2726.5903317931256
NCM42,OUT027,3196.322082094339
FDA46,OUT010,1129.0865932092916
FDA31,OUT013,2782.8531016284605
NCJ31,OUT035,3802.670858883999
FDG52,OUT046,863.6967323629374
NCL19,OUT019,383.67497397229613
FDS10,OUT035,2986.404070313179
FDX22,OUT010,1453.2700642602736
NCF19,OUT035,998.5313152811385
NCE06,OUT046,2519.8296088661195
DRC27,OUT046,3768.666066789686
FDE21,OUT035,2044.9750562281504
NCR42,OUT019,-1251.134114547142
FDX51,OUT018,2840.7076836527963
NCR06,OUT018,510.7134768810499
FDU31,OUT027,4872.661618212022
FDU59,OUT017,2684.937811854625
FDR03,OUT027,4667.8551828367545
FDS49,OUT027,2769.552144702109
FDD48,OUT010,-11.742853337762085
NCF18,OUT017,3083.5092213649104
NCD43,OUT027,3104.4140854002508
NCD54,OUT018,2007.8274969877748
FDY19,OUT010,23.568113246545522
NCY54,OUT017,2783.2415589678103
NCL19,OUT018,2023.5214175263472
FDP23,OUT010,1509.3653428274188
FDC26,OUT013,1848.5794920752428
FDR14,OUT010,-931.0749455928544
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.33646645032
FDU34,OUT046,2004.5683173135985
DRH11,OUT046,984.169528964188
FDM03,OUT013,1734.3034064058775
FDS31,OUT017,2964.8933269092504
FDJ20,OUT017,2116.7529678965648
FDV44,OUT027,4427.784808962079
FDG02,OUT049,3080.3282714018806
FDA09,OUT013,2877.9901004558037
FDT04,OUT013,743.8136889644129
FDL58,OUT019,2224.4305199227956
FDE52,OUT045,1472.2979119940544
FDW12,OUT035,2500.3276177547996
FDL51,OUT017,3499.17163175145
NCY42,OUT027,3669.3541994593006
FDR07,OUT017,1704.3865411049337
FDN40,OUT045,2341.9257898901224
FDB35,OUT027,2975.938723178916
FDA22,OUT017,2708.4019276470285
NCL06,OUT046,4020.0931885843816
FDI35,OUT013,2889.386905085806
NCW42,OUT045,3358.9867537069445
NCX06,OUT049,2926.3408466167143
FDC37,OUT027,3208.3154817412396
FDZ14,OUT018,1759.3628553683411
DRG49,OUT049,3880.47204450963
NCG06,OUT045,3875.837440520004
DRC36,OUT045,2697.4303484146417
FDV21,OUT019,89.20329367236559
FDB53,OUT046,2335.2836003628104
DRP47,OUT019,1969.360046619953
FDA14,OUT013,2346.31231189347
DRC24,OUT035,2559.4368407748675
FDW21,OUT018,1431.1415252561842
NCH29,OUT046,1574.1901419858748
FDU58,OUT013,3038.8499545102045
FDY27,OUT017,2888.586673528193
FDV56,OUT035,1978.6353753250962
FDT59,OUT046,3588.219044516926
FDB23,OUT046,3557.5198981563976
FDR49,OUT045,760.321798379873
FDB03,OUT010,1879.1002918477898
FDN39,OUT045,2601.008116477854
FDX02,OUT027,4893.539499114107
FDQ16,OUT027,3196.57648028102
FDU35,OUT018,1349.3325726460903
NCT29,OUT013,1985.4074128544562
FDZ27,OUT046,871.1855531616698
FDN57,OUT017,2352.0259350435463
FDA03,OUT018,2095.943456367067
FDZ36,OUT045,2892.9101455455657
NCU05,OUT013,1378.534402337672
FDT39,OUT018,2199.4632583522475
FDK60,OUT017,1722.7099429732364
FDZ25,OUT017,2809.598732763241
FDG12,OUT046,1996.264166796808
DRB01,OUT019,1083.335780311959
NCC43,OUT027,5257.5615720883225
FDX13,OUT019,1979.8573545982824
FDM22,OUT049,1099.9470861104871
FDJ03,OUT027,2354.422841288429
FDU14,OUT018,3604.6800005478603
FDB33,OUT010,672.576940136273
FDP27,OUT046,2975.1934067615766
FDO38,OUT010,-582.7923496414348
FDE28,OUT027,5039.563589210016
FDO27,OUT035,1728.2847298513584
DRL23,OUT027,3168.950989414748
FDS28,OUT046,1027.0683487085073
FDX24,OUT013,1576.8218839850065
FDZ02,OUT035,1784.0734724042354
FDL46,OUT045,1839.2554744810388
FDS60,OUT027,4250.409336238305
NCO06,OUT017,717.6465905641745
FDO16,OUT035,1575.6042405473017
FDC60,OUT049,1593.7200437221381
FDA48,OUT018,3143.3858700772057
FDZ36,OUT027,4385.028482398678
FDK27,OUT045,1908.4289842610206
FDW23,OUT018,471.632553703544
FDM14,OUT018,1541.182350809011
FDM14,OUT013,1815.3528147796865
FDW60,OUT018,2582.1162522474683
FDE21,OUT013,1937.8367449367724
NCM42,OUT035,1909.6295631404068
FDY59,OUT010,-325.27664244780624
DRI49,OUT049,1411.616461620153
FDT28,OUT019,537.2071923218487
FDQ22,OUT018,492.451610447324
