Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1578.8522424118246
FDW14,OUT017,1451.6195755197714
NCN55,OUT010,574.4030484789163
FDQ58,OUT017,2508.199725049279
FDY38,OUT027,5832.71795780958
FDH56,OUT046,1952.234865041014
FDL48,OUT018,741.2641322542325
FDC48,OUT027,2079.6353362975783
FDN33,OUT045,1535.8707571302741
FDA36,OUT017,3066.682759056528
FDT44,OUT017,1960.5810241711893
FDQ56,OUT045,1423.7555589387086
NCC54,OUT019,574.4375625932438
FDU11,OUT049,2010.8403989727276
DRL59,OUT013,836.626118233691
FDM24,OUT049,2488.722904396434
FDI57,OUT045,3087.1286442987994
DRC12,OUT018,3068.186307137805
NCM42,OUT027,2918.7082992074143
FDA46,OUT010,508.99789649900015
FDA31,OUT013,2834.7328378546563
NCJ31,OUT035,3880.691756287829
FDG52,OUT046,747.5979808643672
NCL19,OUT019,285.15394504248945
FDS10,OUT035,3018.2696046922974
FDX22,OUT010,568.953479892326
NCF19,OUT035,741.8003063563151
NCE06,OUT046,2566.145646927349
DRC27,OUT046,3891.294161381168
FDE21,OUT035,1952.234865041014
NCR42,OUT019,131.8168366527504
FDX51,OUT018,3068.186307137805
NCR06,OUT018,667.3437270134913
FDU31,OUT027,5832.71795780958
FDU59,OUT017,2573.0714589123168
FDR03,OUT027,5835.830011291508
FDS49,OUT027,1983.5306299372692
FDD48,OUT010,266.0755960043801
NCF18,OUT017,3068.186307137805
NCD43,OUT027,2893.8573064742122
NCD54,OUT018,2146.313261506991
FDY19,OUT010,267.04990498943937
NCY54,OUT017,2834.7328378546563
NCL19,OUT018,2470.5937979117857
FDP23,OUT010,570.6358453853722
FDC26,OUT013,1713.3985214659808
FDR14,OUT010,131.8168366527504
NCS41,OUT035,3062.8407695389983
FDF41,OUT035,3901.8401333721717
FDU34,OUT046,2013.551124364679
DRH11,OUT046,954.8781303269108
FDM03,OUT013,1578.8522424118246
FDS31,OUT017,3025.306165056754
FDJ20,OUT017,2010.8403989727276
FDV44,OUT027,5207.402696791148
FDG02,OUT049,3066.682759056528
FDA09,OUT013,2951.2347819254223
FDT04,OUT013,701.01355388185
FDL58,OUT019,572.5344800409111
FDE52,OUT045,1474.826699210865
FDW12,OUT035,2473.277310681865
FDL51,OUT017,3618.7916099806594
NCY42,OUT027,2973.4655638767185
FDR07,OUT017,1535.8707571302741
FDN40,OUT045,2498.7267036826665
FDB35,OUT027,2664.9584768682944
FDA22,OUT017,2573.0714589123168
NCL06,OUT046,4074.3513723632036
FDI35,OUT013,3025.306165056754
NCW42,OUT045,3719.8205337730888
NCX06,OUT049,2966.5849800913893
FDC37,OUT027,2903.2979636797604
FDZ14,OUT018,2010.8403989727276
DRG49,OUT049,3894.1942330467014
NCG06,OUT045,4038.402767311836
DRC36,OUT045,2833.3196687429577
FDV21,OUT019,281.37560187088604
FDB53,OUT046,2484.4689712888717
DRP47,OUT019,572.1711385382988
FDA14,OUT013,2484.4689712888717
DRC24,OUT035,2498.7267036826665
FDW21,OUT018,1564.76115872784
NCH29,OUT046,1535.8707571302741
FDU58,OUT013,3066.682759056528
FDY27,OUT017,2879.3758452235534
FDV56,OUT035,1590.5082931257077
FDT59,OUT046,3806.541289043517
FDB23,OUT046,3746.3478903892747
FDR49,OUT045,739.0574401337273
FDB03,OUT010,575.3437502104102
FDN39,OUT045,2573.0714589123168
FDX02,OUT027,5835.830011291508
FDQ16,OUT027,2903.2979636797604
FDU35,OUT018,1549.7308944952417
NCT29,OUT013,2010.8403989727276
FDZ27,OUT046,747.5979808643672
FDN57,OUT017,2018.7817796676636
FDA03,OUT018,2481.785458518793
FDZ36,OUT045,3065.2695899448286
NCU05,OUT013,1457.758372086018
FDT39,OUT018,2483.130673672121
FDK60,OUT017,1535.8707571302741
FDZ25,OUT017,2756.327292939447
FDG12,OUT046,2010.8403989727276
DRB01,OUT019,501.7540833507561
NCC43,OUT027,5835.830011291508
FDX13,OUT019,569.2673248008145
FDM22,OUT049,875.0974121903739
FDJ03,OUT027,1035.49679662997
FDU14,OUT018,3868.463204196748
FDB33,OUT010,379.6727569148911
FDP27,OUT046,3066.682759056528
FDO38,OUT010,157.05763463246626
FDE28,OUT027,5835.830011291508
FDO27,OUT035,1535.8707571302741
DRL23,OUT027,2900.5063460832152
FDS28,OUT046,954.8781303269108
FDX24,OUT013,1539.552697013512
FDZ02,OUT035,1535.8707571302741
FDL46,OUT045,1952.234865041014
FDS60,OUT027,4765.813053929772
NCO06,OUT017,659.6257140077163
FDO16,OUT035,1417.4966447227507
FDC60,OUT049,1451.6195755197714
FDA48,OUT018,3538.0296981647857
FDZ36,OUT027,5193.7947288493815
FDK27,OUT045,2010.8403989727276
FDW23,OUT018,661.957831860125
FDM14,OUT018,1674.1531860453213
FDM14,OUT013,1578.8522424118246
FDW60,OUT018,2876.6923324534746
FDE21,OUT013,1952.234865041014
NCM42,OUT035,1590.5082931257077
FDY59,OUT010,228.23217703183033
DRI49,OUT049,1346.8921089501027
FDT28,OUT019,363.02458660195197
FDQ22,OUT018,665.2465359547614
FDR60,OUT049,1273.659556931555
FDC50,OUT019,237.82149988566147
FDV24,OUT013,2488.722904396434
DRF48,OUT010,488.9908443425689
FDQ47,OUT046,668.5322691105558
DRN36,OUT049,1535.8707571302741
NCY06,OUT035,2016.379695012311
FDE52,OUT035,1474.826699210865
NCB54,OUT045,2016.379695012311
NCF31,OUT035,2495.995938671447
FDJ08,OUT027,5228.648852334973
NCC07,OUT017,1576.3832015940277
NCD19,OUT027,1228.4171968920266
FDL46,OUT049,1976.4974895335672
FDM20,OUT045,3912.393761496255
NCI06,OUT010,449.9882945407222
DRM11,OUT035,4080.8763317926832
NCH07,OUT018,2555.966536458893
FDS23,OUT013,2016.379695012311
FDO49,OUT018,741.2641322542325
FDS35,OUT049,1085.6140572424283
DRK39,OUT045,1370.7454337776587
DRI39,OUT049,921.7047187811023
FDV04,OUT017,2558.6500492289724
