Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1735.8992719626171
FDW14,OUT017,1262.9388238410597
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2336.3497827027018
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.4309598591547
FDL48,OUT018,754.596095726496
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1517.6348566210047
FDA36,OUT017,3035.893271830985
FDT44,OUT017,1874.4309598591547
FDQ56,OUT045,1349.2029098814232
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2153.314263736263
DRL59,OUT013,754.596095726496
FDM24,OUT049,2410.0863865853667
FDI57,OUT045,2931.788768720379
DRC12,OUT018,3035.893271830985
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.968429875518
NCJ31,OUT035,3956.960966486485
FDG52,OUT046,754.596095726496
NCL19,OUT019,286.4177705128205
FDS10,OUT035,3035.893271830985
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.596095726496
NCE06,OUT046,2662.294636448599
DRC27,OUT046,3956.960966486485
FDE21,OUT035,1874.4309598591547
NCR42,OUT019,130.33349056603777
FDX51,OUT018,2931.788768720379
NCR06,OUT018,637.5735090128758
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2608.146486919834
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.4177705128205
NCF18,OUT017,3035.893271830985
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1961.8131869822487
FDY19,OUT010,286.4177705128205
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2559.2529541176473
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1735.8992719626171
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3035.893271830985
FDF41,OUT035,3956.960966486485
FDU34,OUT046,2153.314263736263
DRH11,OUT046,876.3205797979801
FDM03,OUT013,1735.8992719626171
FDS31,OUT017,3035.893271830985
FDJ20,OUT017,2022.537150961537
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3343.8390911504416
FDA09,OUT013,2736.968429875518
FDT04,OUT013,637.5735090128758
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1437.187002666667
FDW12,OUT035,2559.2529541176473
FDL51,OUT017,3628.9480612403104
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.6348566210047
FDN40,OUT045,2336.3497827027018
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2608.146486919834
NCL06,OUT046,4311.576251315788
FDI35,OUT013,3343.8390911504416
NCW42,OUT045,3628.9480612403104
NCX06,OUT049,2736.968429875518
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,2022.537150961537
DRG49,OUT049,3956.960966486485
NCG06,OUT045,4131.978437869822
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.4177705128205
FDB53,OUT046,2410.0863865853667
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2559.2529541176473
DRC24,OUT035,2336.3497827027018
FDW21,OUT018,1622.9196420689652
NCH29,OUT046,1517.6348566210047
FDU58,OUT013,3343.8390911504416
FDY27,OUT017,2736.968429875518
FDV56,OUT035,1622.9196420689652
FDT59,OUT046,3852.7519279569924
FDB23,OUT046,3852.7519279569924
FDR49,OUT045,754.596095726496
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2608.146486919834
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.6348566210047
NCT29,OUT013,2153.314263736263
FDZ27,OUT046,754.596095726496
FDN57,OUT017,1961.8131869822487
FDA03,OUT018,2559.2529541176473
FDZ36,OUT045,3035.893271830985
NCU05,OUT013,1349.2029098814232
FDT39,OUT018,2410.0863865853667
FDK60,OUT017,1517.6348566210047
FDZ25,OUT017,2608.146486919834
FDG12,OUT046,2153.314263736263
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428568
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979801
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,384.48867398374
FDP27,OUT046,3343.8390911504416
FDO38,OUT010,130.33349056603777
FDE28,OUT027,5669.163351428568
FDO27,OUT035,1517.6348566210047
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979801
FDX24,OUT013,1437.187002666667
FDZ02,OUT035,1517.6348566210047
FDL46,OUT045,1874.4309598591547
FDS60,OUT027,5669.163351428568
NCO06,OUT017,552.5502107784432
FDO16,OUT035,1349.2029098814232
FDC60,OUT049,1349.2029098814232
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5669.163351428568
FDK27,OUT045,2022.537150961537
FDW23,OUT018,637.5735090128758
FDM14,OUT018,1622.9196420689652
FDM14,OUT013,1735.8992719626171
FDW60,OUT018,2736.968429875518
FDE21,OUT013,1874.4309598591547
NCM42,OUT035,1622.9196420689652
FDY59,OUT010,230.00859181286555
DRI49,OUT049,1349.2029098814232
FDT28,OUT019,384.48867398374
FDQ22,OUT018,637.5735090128758
FDR60,OUT049,1349.2029098814232
FDC50,OUT019,230.00859181286555
FDV24,OUT013,2336.3497827027018
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.5502107784432
DRN36,OUT049,1517.6348566210047
NCY06,OUT035,1961.8131869822487
FDE52,OUT035,1437.187002666667
NCB54,OUT045,2022.537150961537
NCF31,OUT035,2336.3497827027018
FDJ08,OUT027,5669.163351428568
NCC07,OUT017,1622.9196420689652
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1874.4309598591547
FDM20,OUT045,3956.960966486485
NCI06,OUT010,384.48867398374
DRM11,OUT035,4311.576251315788
NCH07,OUT018,2662.294636448599
FDS23,OUT013,2153.314263736263
FDO49,OUT018,754.596095726496
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1349.2029098814232
DRI39,OUT049,876.3205797979801
FDV04,OUT017,2662.294636448599
NCN14,OUT035,3035.893271830985
FDH08,OUT013,3852.7519279569924
FDS20,OUT046,3343.8390911504416
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,230.00859181286555
FDS24,OUT027,2513.079854666666
FDK44,OUT049,2997.4076790419153
FDS48,OUT045,2410.0863865853667
FDK26,OUT010,542.9755395973153
FDD23,OUT045,3035.893271830985
NCH54,OUT017,2662.294636448599
NCP14,OUT010,230.00859181286555
FDM60,OUT010,130.33349056603777
FDV24,OUT017,2410.0863865853667
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3175.335988157896
FDR39,OUT027,5669.163351428568
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,5669.163351428568
FDC09,OUT035,1622.9196420689652
FDF50,OUT018,2931.788768720379
FDG28,OUT035,3956.960966486485
NCE19,OUT017,876.3205797979801
NCM53,OUT010,230.00859181286555
NCN18,OUT049,1735.8992719626171
FDF32,OUT035,2931.788768720379
FDF11,OUT013,3956.960966486485
DRI59,OUT049,3852.7519279569924
