Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1645.7801768381314
FDW14,OUT017,1365.8127774515897
NCN55,OUT010,573.2501651220008
FDQ58,OUT017,2465.94679167447
FDY38,OUT027,5857.329262401554
FDH56,OUT046,1935.3055338546487
FDL48,OUT018,764.3468163873231
FDC48,OUT027,2125.1674874853425
FDN33,OUT045,1520.6896571963
FDA36,OUT017,3090.8814941693413
FDT44,OUT017,1926.5849986698056
FDQ56,OUT045,1361.3953322013692
NCC54,OUT019,574.0576155661231
FDU11,OUT049,2014.401796190487
DRL59,OUT013,879.0577928176474
FDM24,OUT049,2448.279048198332
FDI57,OUT045,3064.027332507112
DRC12,OUT018,2967.3483436419892
NCM42,OUT027,2918.111000727429
FDA46,OUT010,507.4540685029922
FDA31,OUT013,2848.812018996077
NCJ31,OUT035,3856.8782079827783
FDG52,OUT046,788.177887155269
NCL19,OUT019,287.7812179275674
FDS10,OUT035,2999.431522257696
FDX22,OUT010,566.1369367384358
NCF19,OUT035,755.3276085714194
NCE06,OUT046,2545.822340931691
DRC27,OUT046,3869.40281960263
FDE21,OUT035,1956.192560516468
NCR42,OUT019,132.06171756979535
FDX51,OUT018,2986.0874556010094
NCR06,OUT018,620.8039908177007
FDU31,OUT027,5857.329262401554
FDU59,OUT017,2547.840076744241
FDR03,OUT027,5854.034247836634
FDS49,OUT027,2015.5954142967284
FDD48,OUT010,265.0699455338942
NCF18,OUT017,3030.5886759111295
NCD43,OUT027,2857.207860467827
NCD54,OUT018,2120.9040126797518
FDY19,OUT010,265.61001035157364
NCY54,OUT017,2856.4353053392347
NCL19,OUT018,2438.1855808616765
FDP23,OUT010,569.4084558103317
FDC26,OUT013,1733.5686489215918
FDR14,OUT010,132.06171756979535
NCS41,OUT035,3123.629576496664
FDF41,OUT035,3854.123287143668
FDU34,OUT046,2046.8842238230075
DRH11,OUT046,953.5897552749758
FDM03,OUT013,1648.7458840356633
FDS31,OUT017,3053.457118984643
FDJ20,OUT017,1999.6176100092634
FDV44,OUT027,5094.881718947512
FDG02,OUT049,3115.7372562174533
FDA09,OUT013,2986.9194953807887
FDT04,OUT013,707.8797472952309
FDL58,OUT019,571.3146445721217
FDE52,OUT045,1381.791035474485
FDW12,OUT035,2472.330780494915
FDL51,OUT017,3659.4441933366156
NCY42,OUT027,3038.0330529615067
FDR07,OUT017,1543.519663499504
FDN40,OUT045,2460.3692551907607
FDB35,OUT027,2667.067189159953
FDA22,OUT017,2539.721948438256
NCL06,OUT046,4153.714884213886
FDI35,OUT013,3061.8422074816817
NCW42,OUT045,3754.5794017907383
NCX06,OUT049,2996.7032163097465
FDC37,OUT027,2892.0677650408966
FDZ14,OUT018,1957.50403587874
DRG49,OUT049,3840.2736584054765
NCG06,OUT045,4106.765401908329
DRC36,OUT045,2865.5560265593867
FDV21,OUT019,280.7369231308219
FDB53,OUT046,2493.1498917281556
DRP47,OUT019,572.5290377556005
FDA14,OUT013,2461.12380633741
DRC24,OUT035,2539.8213876123345
FDW21,OUT018,1610.824014822206
NCH29,OUT046,1544.7082861220892
FDU58,OUT013,3095.498531566086
FDY27,OUT017,2865.2488846883325
FDV56,OUT035,1658.9813545467634
FDT59,OUT046,3810.1547212775604
FDB23,OUT046,3770.228007583968
FDR49,OUT045,752.7236219737259
FDB03,OUT010,573.9104014779555
FDN39,OUT045,2630.6699594157312
FDX02,OUT027,5857.329262401554
FDQ16,OUT027,2890.3943038630223
FDU35,OUT018,1555.544805457969
NCT29,OUT013,2014.0242486950071
FDZ27,OUT046,788.6466218118796
FDN57,OUT017,2031.8768242666642
FDA03,OUT018,2433.486198905406
FDZ36,OUT045,3123.087557191404
NCU05,OUT013,1414.1191114624705
FDT39,OUT018,2397.338427141362
FDK60,OUT017,1543.3007157693341
FDZ25,OUT017,2798.67176490694
FDG12,OUT046,2079.2484203499903
DRB01,OUT019,501.3073589600071
NCC43,OUT027,5857.329262401554
FDX13,OUT019,569.3568229326927
